"Formula (Chemical)","Ion Type","Structure Type","Cycle Life (N cycles or hours)","Retention %"
"LPBiSClF0.06","Li+","Cubic argyrodite","2.1 hours",""
"LPBiSClF0.06","Li+","Cubic argyrodite","168.19 cycles",""
"Na3V2(PO4)3 (NVP)","Zn2+","NASICON NVP","500 hours",""
"Na3V2(PO4)3 (NVP)","Zn2+","NASICON NVP protective layer","168 cycles",""
"P:Si=6 glass (75Li2S-25P2S5 + 40 mol% LiI + SiS2)","Li+","Glassy sulfide","8000 hours",""
"P:Si=6 glass","Li+","Glassy sulfide","82.4 cycles",""
"Composite electrolyte (C:G=7, Li5.4PS4.4Cl1.6 + 12.5 wt% P:Si=6 glass)","Li+","Composite (argyrodite+glass)","3000 hours",""
"Composite electrolyte (C:G=7)","Li+","Composite (argyrodite+glass)","82.4 cycles",""
"P:Si=6 glassy sulfide used as SSE interlayer (LiI 40 mol%)","Li+","Glassy sulfide","8000 hours",""
"C:G=7 composite (Li5.4PS4.4Cl1.6 + 12.5 wt% P:Si=6 glass)","Li+","Argyrodite + glass composite","3000 hours",""
"C:G=7 composite as SSE interlayer in ASSLMB","Li+","Argyrodite + glass composite","82.4 cycles",""
"Li3InCl4.8F1.2","Li+","Halide SE + layered oxide composite","-",""
"Li5.5PS4.5Cl1.5","Li+","Sulfide SE + layered oxide composite","500 cycles",""
"PSE1 (PTU1 + LiClO4)","Li+","Polymer electrolyte","100 cycles",""
"PSE2 (PTU2 + LiClO4)","Li+","Polymer electrolyte","100 cycles",""
"PSE3 (PTU3 + LiClO4)","Li+","Polymer electrolyte","100 cycles",""
"CSE (PEO-LiTFSI + Li-HA-F)","Li+","Polymer composite","2000 hours",""
"CSE (PEO-LiTFSI + Li-HA-F)","Li+","Polymer composite","100 cycles",""
"CSE (PEO-LiTFSI + Li-HA-F)","Li+","Polymer composite","80 cycles",""
"TDCT","Li+","Polymer composite with superionic filler","4000 hours",""
"TDCT","Li+","Polymer composite with superionic filler","760 cycles",""
"TDCT","Li+","Polymer composite with superionic filler","500 cycles",""
"TDCT","Li+","Polymer composite with superionic filler","300 cycles",""
"TDCT","Li+","Polymer composite with superionic filler","LED lighting under bending",""
"c-Na3PS4","Na+","Thiophosphate (cubic)","198 cycles",""
"Na2.730Ca0.135PS4","Na+","Thiophosphate (cubic)","198 cycles",""
"Na3SbS3Se","Na+","Thiophosphate-type chalcogenide","105 cycles",""
"Na3SbS2Se2","Na+","Thiophosphate-type chalcogenide","92 cycles",""
"Li3InCl6","Li+","Halide (Li3InCl6)","3 cycles",""
"Li7P2S8I","Li+","New iodide-based sulfide (Pnma)","800 cycles",""
"0.1NaI·0.9Na3SbS4","Na+","Glass-ceramic sulfide","258",""
"0.7Li(CB9H10)-0.3Li(CB11H12)","Li+","Complex hydride lithium superionic conductor","1500",""
"Na3PS4 glass-ceramic (cubic)","Na+","Sulfide glass-ceramic (cubic Na3PS4)","90 cycles",""
"3LiCl-GaF3 (as catholyte)","Li+","Pliable halide-fluoride glass electrolyte","2.84 cycles",""
